"","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA"
"Arizona",26.1611805736805,9821.43917953111,2982.17912113783,723.234761971466,13417.708522031,11667.9782297639,3535.67586080954,12398.4736485827,10404.5359303505,3560.91947784876,24303.6186673688,21028.431705455,6773.65012288112,16428.2115388705,14191.9585658516,4574.00846196553
"Massachusetts",7.19342186527191,10326.6393877575,2838.53460372864,1787.05352404986,13881.8202186243,12987.8512552622,7063.38513967666,12361.0455998019,11357.8971262809,5711.78201242881,27741.3387498084,25266.9569472778,11051.0683584307,15391.9377852199,12992.6122896596,4941.74734384397
"Tennessee",23.0873333920697,9598.28089405154,3489.82631838153,877.202559007839,13128.0310584171,11787.7391791669,4007.91138088896,12754.4026919559,11289.8510641911,3762.59125017286,26546.3401675437,23211.4026021917,6525.75201787521,15402.1436664071,12083.2484212416,3157.42580502728
"Indiana",22.1127435586599,10228.2886682249,3196.95171522727,959.114246863038,12733.2759897217,11280.7223843329,3741.57992538072,12439.5412027157,11178.6017595052,3556.36247937324,26216.3892639209,23569.1922051401,6410.26571626284,14597.8809478875,12183.6725558798,2746.62592124811
"Missouri",36.5050057442967,9774.09580060182,2940.52010103677,932.029273539861,13103.723969768,11949.0063203935,4278.93796850797,12075.6972609873,10959.4904976857,4015.73087407862,26600.6704185705,23876.1898053456,7090.21619418966,15650.3632860253,13180.1861820308,3390.98226458493
"Maryland",9.81060748976929,9277.47418132795,2661.77568810454,1293.01450896525,13913.8509650486,12601.2200535014,5625.75406802655,12839.5526726264,11648.3899954345,5660.53314913487,27550.353353796,25130.68010368,10657.1444823113,14128.2302218372,11951.3266342874,4605.6677725358
"Wisconsin",27.2191754050675,9714.13988232441,3053.88919450801,1081.31377656062,12577.4914955917,11735.086533362,4222.94734765272,12078.8516981337,11084.5194543378,4049.34836667336,27671.8648115923,25673.0753060347,7569.43915895775,15616.8519828131,13634.9317280788,3445.34943534821
"Colorado",31.1371294099528,9689.23724572242,2894.75572596557,1078.28870806683,15180.1151772522,13981.9105754843,5963.25552381167,13544.0175201268,12178.730840573,5856.00292467047,25604.7227848824,23597.0400191308,9887.24345587548,13059.1968644949,11686.8260810278,4735.48488213685
"Minnesota",26.2547572877445,9225.11621204811,2535.29681610452,1186.88137661459,13601.8210886221,12701.8377782865,5537.64887317406,12329.1384211578,11467.5869390152,4932.29741893885,26891.8646550301,25368.1074194222,9011.52498844036,14682.4905356835,13092.1023231466,3938.90670842427
"South Carolina",22.4310953503299,9949.38745624469,3359.97094079186,861.193658457059,12902.9707646878,11477.1410021259,3769.03486410367,12266.9941411701,10792.5008284244,3492.25326129548,26432.9699434138,23201.0319451078,7006.69317897195,16220.2436282824,13080.3822969277,3919.3770411826
