"NAME","LicCount","POPESTIMATE2016","LicCountMonthly","perCapitaFFL.2016","perCapitaFFL","REGION","DIVISION","STATE","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016"
"New Jersey",3957,8944469,329.75,44.2396300998975,3.68663584165812,"1","2",34,9048,102166,74762,27404,50087,-66791,-16704,-1652,11.428034513,8.3626912694,3.0653432432,5.6026071749,-7.471075046,-1.868467871
"Virginia",20580,8411808,1715,244.65608344841,20.3880069540341,"3","5",51,44221,102366,66558,35808,32545,-25343,7202,1211,12.201393435,7.9333015285,4.2680919068,3.8791625085,-3.020728697,0.8584338112
"Washington",14427,7288000,1202.25,197.955543358946,16.4962952799122,"4","9",53,127710,89982,55979,34003,24410,67571,91981,1726,12.455730055,7.7488754725,4.7068545828,3.3789465743,9.3534944274,12.732441002
"Arizona",21759,6931071,1813.25,313.934166884166,26.1611805736805,"4","8",4,113506,87204,56564,30640,14861,61544,76405,6461,12.685476581,8.2283071572,4.4571694239,2.161814452,8.9527426575,11.11455711
"Massachusetts",5880,6811779,490,86.3210623832629,7.19342186527191,"1","1",25,27539,72024,57563,14461,40898,-25606,15292,-2214,10.594866041,8.4676257072,2.1272403341,6.0161728224,-3.766690823,2.2494819991
"Tennessee",18427,6651194,1535.58333333333,277.048000704836,23.0873333920697,"3","6",47,56138,81443,65454,15989,9440,30519,39959,190,12.296763235,9.8826460319,2.414117203,1.4253090497,4.607945645,6.0332546947
"Indiana",17601,6633053,1466.75,265.352922703919,22.1127435586599,"2","3",18,20285,83267,60909,22358,11052,-12135,-1083,-990,12.572569114,9.196711929,3.3758571854,1.6687527334,-1.832276006,-0.163523273
"Missouri",26691,6093000,2224.25,438.060068931561,36.5050057442967,"2","4",29,16796,74423,58723,15700,8413,-6250,2163,-1067,12.231366982,9.6510831768,2.5802838049,1.382670551,-1.027183043,0.3554875076
"Maryland",7083,6016447,590.25,117.727289877232,9.81060748976929,"3","5",24,21464,73321,50036,23285,26408,-26232,176,-1997,12.208538034,8.331397677,3.8771403571,4.3971450527,-4.367839633,0.0293054199
"Wisconsin",18875,5778708,1572.91666666667,326.63010486081,27.2191754050675,"2","3",55,10817,66079,49823,16256,7990,-12395,-4405,-1034,11.445621347,8.6299004581,2.8157208889,1.3839573021,-2.146952536,-0.762995233
"Colorado",20702,5540545,1725.16666666667,373.645552919433,31.1371294099528,"4","8",8,91726,67453,37121,30332,10557,50216,60773,621,12.276051644,6.7558049765,5.5202466676,1.9213122798,9.1390184182,11.060330698
"Minnesota",17391,5519952,1449.25,315.057087452934,26.2547572877445,"2","4",27,37517,69190,41938,27252,13644,-1762,11882,-1617,12.577270732,7.6234366233,4.9538341089,2.4801890717,-0.320294133,2.1598949392
"South Carolina",13354,4961119,1112.83333333333,269.173144203959,22.4310953503299,"3","5",45,66285,57926,47514,10412,5760,47084,52844,3029,11.754520339,9.6416855884,2.1128347507,1.1688367426,9.5544286788,10.723265421
"Alabama",14761,4863300,1230.08333333333,303.518187239117,25.2931822699265,"3","6",1,9425,58556,52405,6151,4738,-864,3874,-600,12.052062456,10.786056647,1.2660058093,0.9751805437,-0.177829462,0.797351082
