"","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","Legislative.Control","Governing.Party","State.Control","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","workforcePC","agriculturePC","constructionPC","manufacturingPC","wholesalePC","retailPC","transportationPC","informationPC","financePC","pro.scientificPC","educationPC","artsPC","otherPC","publicAdminPC","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","atf.Region","POP_ST","AREA_ST","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL"
"19",186,35,19,15,"1",151,89,58,"Dem","Rep","Divided",38.866553659502,8441.74258134737,2621.30364894434,808.979332101248,11430.5658041315,10637.7585367817,3726.87112669647,11483.8207894525,10943.7490456601,3875.57890350392,30541.5836437994,28307.5821409256,8449.56534755271,18847.4507936723,16426.9816232691,5727.84445933779,1066.29388176942,1640.45212579911,2501.68949184364,2583.71209813359,2173.59906668382,4347.19813336763,5536.52592457199,8038.21541641562,5372.48071199207,4798.32246796239,2952.81382643839,48772.9915988004,1311.44162298329,3526.18708596694,4560.82313553018,1026.36196992297,6386.08510417442,1864.67667529428,943.997268049341,3052.60885492003,4070.01977505034,13648.7713367829,4248.5894574686,2226.85570682078,1906.57360583639,1331479,2026,12542,13842,-1300,1785,2169,3954,-628,6,1328361,79882800680,513542,38.66,931423305,1.17,1428,348137,26.21,616415489,0.77,1462.8,165405,12.45,315007816,0.39,1360,814819,61.34,78951377375,98.83,26.7
"20",188,47,36,11,"0",141,98,43,"Dem","Dem","Dem",9.81060748976929,9277.47418132795,2661.77568810454,1293.01450896525,13913.8509650486,12601.2200535014,5625.75406802655,12839.5526726264,11648.3899954345,5660.53314913487,27550.353353796,25130.68010368,10657.1444823113,14128.2302218372,11951.3266342874,4605.6677725358,908.231933268201,908.231933268201,1126.20759725257,1162.5368745833,1235.19542924475,2615.70796781242,3814.57411972644,6212.3064235545,4868.12316231756,6539.26991953105,6938.89197016906,50566.7155353068,232.794655130799,3413.65438400743,2322.5920740726,1020.97036805609,5005.00168223997,2306.24507192097,1094.33171036515,2993.21949703611,7848.76287388972,11720.3501661306,4483.21538192852,2703.22701498903,5422.35065553981,6016447,21464,73321,50036,23285,26408,-26232,176,-1997,8,5773552,25141638381,5034331,87.2,5191942757,20.65,2511.4,4822869,83.53,4767985793,18.96,2619.8,211462,3.66,423956964,1.69,1291.8,739221,12.8,19949695624,79.35,96
"21",200,40,36,4,"0",160,131,29,"Dem","Dem","Dem",7.19342186527191,10326.6393877575,2838.53460372864,1787.05352404986,13881.8202186243,12987.8512552622,7063.38513967666,12361.0455998019,11357.8971262809,5711.78201242881,27741.3387498084,25266.9569472778,11051.0683584307,15391.9377852199,12992.6122896596,4941.74734384397,1094.27996356261,1169.74754725658,1848.95580050234,1547.08546572645,1433.88409018549,2867.76818037098,3848.84676839263,5924.20531997689,4565.78881348537,6490.21219768169,6905.28390799854,51917.429218306,200.214025447213,2810.60221926111,4675.79271959718,1181.22295201821,5521.1637559992,1913.87686756365,1251.79828543802,3832.23470867776,7016.09907668361,14604.3329835029,4718.53884886148,2296.98536608375,1894.56740917185,6811779,27539,72024,57563,14461,40898,-25606,15292,-2214,6,6547629,20202057805,6021989,91.97,7735338848,38.29,2016.3,5912700,90.3,7498364724,37.12,2042.3,109289,1.67,236974124,1.17,1194.5,525640,8.03,12466718957,61.71,109.2
"22",148,38,12,26,"0",110,51,59,"Rep","Rep","Rep",21.9498784333795,9945.88975383947,2872.7988251326,965.434074280215,12316.929857331,11233.2124889655,3890.52316990355,11851.5908150214,10814.1744343329,3814.1043577074,27836.4623302848,25505.5826871411,7445.47509179282,15836.7224708514,13604.7365749066,3709.81622278922,1439.50178040002,1556.218140973,1984.17812974057,2100.89449031354,2178.70539736219,4123.97807357844,5602.38530750279,7275.31980904876,4668.65442291899,4746.46532996764,3229.15264251897,45500.8134434192,530.192690554225,2342.88845767397,8228.46794851435,1136.46137240282,5193.15184999771,1938.47070620602,670.1140333232,2464.40838439096,4267.75724045307,10687.6331897015,4439.05677870356,2048.76828987322,1553.44250162462,9928300,10585,113437,94353,19084,22511,-27839,-5328,-3171,4,9883640,146435075220,7369957,74.57,9384151623,6.41,2034.1,6560163,66.37,7875668905,5.38,2157.4,809794,8.19,1508482718,1.03,1390.4,2513683,25.43,137050923597,93.59,47.5
"23",201,67,39,28,"0",134,73,61,"Dem","Dem","Dem",26.2547572877445,9225.11621204811,2535.29681610452,1186.88137661459,13601.8210886221,12701.8377782865,5537.64887317406,12329.1384211578,11467.5869390152,4932.29741893885,26891.8646550301,25368.1074194222,9011.52498844036,14682.4905356835,13092.1023231466,3938.90670842427,861.656617907919,1057.48766743245,1566.64839619622,1644.98081600603,1840.81186553055,3329.12784191696,5052.4410777328,7402.41367202712,5483.26938668675,6227.42737487996,4739.11139849355,53136.5351344795,1153.64796846657,3244.36131025721,7130.9554969644,1557.42840544393,5841.58316514469,2429.28552732499,904.816928974078,3878.60503590102,5209.40056744859,13258.3240840977,4487.44034356997,2367.52464917505,1673.16165171133,5519952,37517,69190,41938,27252,13644,-1762,11882,-1617,3,5303925,206232309199,3886311,73.27,4416575848,2.14,2279,3076032,58,3182448693,1.54,2503.4,810279,15.28,1234127155,0.6,1700.5,1417614,26.73,201815733351,97.86,18.2
"24",174,52,20,32,"0",122,57,65,"Rep","Rep","Rep",31.4069160795157,10436.5439102961,3014.36078932491,644.111340440692,12508.2709181472,10939.3555206915,2890.89078373849,12895.1725937399,11133.6091978631,2867.47463529349,25154.5633055573,21125.3131909854,4947.96597299115,14750.8689063655,11312.1071522953,2895.07223881795,2031.86620012779,2216.58130923031,2549.06850561486,2733.78361471738,2549.06850561486,4285.3905311786,5282.85212033224,6132.54162220386,3989.84635661456,3472.64405112749,1699.37900374324,40365.3922706639,1159.06589638689,2769.62858643402,5509.11724465526,1070.38559706161,4806.09756505508,2347.80339801766,484.848079374053,1899.25034873335,2718.88244758964,9772.42848875523,3850.21693388952,1830.6410337895,2147.02665092209,2988726,-664,37880,31006,6874,2223,-9690,-7467,-71,1,2967297,121530715928,1464224,49.35,2864191371,2.36,1324,819522,27.62,1581129734,1.3,1342.4,644702,21.73,1283061637,1.06,1301.4,1503073,50.65,118666524557,97.64,32.8
"25",197,34,9,24,"1v",163,52,108,"Rep","Dem","Divided",36.5050057442967,9774.09580060182,2940.52010103677,932.029273539861,13103.723969768,11949.0063203935,4278.93796850797,12075.6972609873,10959.4904976857,4015.73087407862,26600.6704185705,23876.1898053456,7090.21619418966,15650.3632860253,13180.1861820308,3390.98226458493,1250.3490666212,1484.78951661267,2188.1108665871,2109.96404992327,2266.25768325092,4337.14832484229,5743.79102479114,7306.72735806764,4688.8089998295,4688.8089998295,2969.57903322535,47403.0990401244,843.536523790182,3055.14758885646,5474.88201515288,1258.45017711716,5622.16146791648,2531.81097935487,940.323925924804,3154.68341747578,4641.45048454594,11376.560102327,4343.22152449128,2220.08675153105,1940.78408164045,6093000,16796,74423,58723,15700,8413,-6250,2163,-1067,5,5988927,178039716301,4218371,70.44,5320506862,2.99,2053.5,3390061,56.61,3899820503,2.19,2251.4,828310,13.83,1420686359,0.8,1510.1,1770556,29.56,172719209439,97.01,26.6
"26",150,50,21,29,"0",100,38,61,"Rep","Dem","Divided",103.810958063155,9727.31580033583,3454.213025629,581.548010654285,12465.8817738668,11699.7537964853,4103.77948071503,11494.6326471093,10944.7684417672,4193.21113913454,27140.3282519744,25586.1746213688,7624.07310335606,17337.0488327861,15791.5186231982,5024.54768218915,1286.1229777351,1607.65372216888,2250.71521103643,2210.52386798221,2652.62864157865,4461.23907901863,5787.55339980796,7917.69458168172,4742.57848039819,4622.00445123552,2692.81998463287,47465.1502364658,3317.78856728158,4416.45116188487,1958.19481761465,1119.00999251022,5425.00385147175,2180.07834717118,878.523127724492,2543.2309536244,3791.97983088406,11476.1262042511,4916.22201142749,2417.07708660143,3025.46428401867,1042520,10447,12431,9597,2834,569,6853,7422,191,9,989415,376961878670,553014,55.89,769702271,0.2,1860.8,262137,26.49,334839591,0.09,2027.6,290877,29.4,434862680,0.12,1732.4,436401,44.11,376192176399,99.8,3
"27",49,49,0,0,"49",0,0,0,"N/A","Rep","N/A",35.9530656062173,10190.1239066093,2667.70164196719,1274.33974120337,13341.2540626741,12277.1832830367,4631.09203095421,12274.2790156118,11010.7114663118,4432.49294395028,24754.6026038078,22924.7557115059,7245.30234744015,14716.2398713674,13032.1343989355,3349.7292430687,1021.67555108474,1218.15161860104,1925.46546165971,1886.17024815645,2161.23674267927,4008.11177733246,5540.62510395957,7583.97620612906,5186.96818243024,5462.03467695305,3261.50272077053,52107.2572362463,2323.30833023105,3589.30490319549,5480.14141142116,1596.81903509675,6116.91524555581,2959.18448170708,882.686077734038,3795.71910981563,4433.97148009389,12530.4882073541,4241.92019601165,2191.61300372538,1965.18575430426,1907116,13351,26553,15355,11198,4187,-2144,2043,110,5,1826341,198973681461,1335686,73.13,1357102386,0.68,2549.1,982197,53.78,944821650,0.47,2692.4,353489,19.36,412280736,0.21,2220.7,490655,26.87,197616579075,99.32,6.4
"28",63,21,11,10,"0",42,27,15,"Dem","Rep","Divided",21.1220322864379,8812.21655908714,3079.17654671439,442.512859955655,14283.7921906068,12464.4994482893,3071.54761252505,13458.896342897,11304.6587126936,3351.00934267022,25869.819866993,22076.5057262086,6011.39207936311,14637.566675151,12578.309275605,3645.10475566951,1264.74811686695,1084.06981445739,1662.24038216799,1734.51170313182,1987.46132650521,4011.05831349232,5384.21341180501,6901.91115204535,4733.77152313058,4480.82189975719,2926.98849903494,46182.6547165192,726.205180878562,2861.64789139727,2063.8694370332,934.509761221295,5607.68275285235,2392.08699204302,646.448141626308,2801.72608103731,5374.37607455272,7012.10018316378,11825.5762099316,2062.93315874633,1873.49285203543,2940058,56300,36462,23771,12691,7392,34575,41967,1642,9,2700551,284331937541,2543797,94.2,1987575459,0.7,3314.8,2336222,86.51,1565145978,0.55,3866,207575,7.69,422429481,0.15,1272.7,156754,5.8,282344362082,99.3,1.4
"29",424,24,11,13,"0",400,220,179,"Split","Dem","Divided",37.215452560131,9778.3568439025,3109.74046526944,1194.63713930642,11676.8450151905,11066.4448305442,4757.27213743815,11759.4696983936,11056.8967552332,4660.66365889764,30608.5732694489,28775.042082954,10601.5964081193,16416.4494542185,14703.1337986078,5114.68591719037,661.557945163975,895.048984633613,1323.11589032795,1517.69175655265,1712.26762277735,2918.63799337048,4630.90561614782,6926.90083759927,5681.6152937612,6771.24014461951,5876.1911599859,53628.0806639446,453.646349815918,3542.11039529784,6822.58849073498,1552.95309940298,6581.18006692674,2169.21745628748,1141.25813559921,3402.79871379156,5845.97826797914,13458.4256501901,4490.37711890211,2209.51484500166,1958.03207401488,1334795,4684,12274,11572,702,2175,2187,4362,-380,6,1316470,23187259277,793872,60.3,1668054122,7.19,1232.6,623168,47.34,1344142228,5.8,1200.8,170704,12.97,323911894,1.4,1364.9,522598,39.7,21519205155,92.81,62.9
"30",120,40,24,16,"0",80,48,32,"Dem","Rep","Divided",3.68663584165812,8872.15051199043,2413.74189307924,1351.37449035697,12892.2856572735,11864.3766197474,5629.23671979194,13081.6108160992,11838.7370891646,5666.28030173396,28007.1414654105,25397.2924163282,10423.2693680578,15029.5212726966,12358.6454404331,4223.72935757588,1070.33445877928,963.301012901351,1284.40135053513,1427.1126117057,1498.46824229099,2747.19177753348,3746.17060572748,5565.73918565225,4352.6934657024,6065.22859974925,6957.17398206531,48957.2455511609,162.331467090359,2887.08276867984,3913.49215666503,1698.9686328154,5531.79307387979,2849.88250693504,1364.2893826715,4152.78698116183,6488.84926630765,11566.6514202297,4189.40528935346,2231.85902488534,1919.85358048602,8944469,9048,102166,74762,27404,50087,-66791,-16704,-1652,8,8791894,19047341691,8324126,94.68,7561624746,39.7,2851.2,8109908,92.24,7178066812,37.69,2926.2,214218,2.44,383557934,2.01,1446.5,467768,5.32,11485716945,60.3,105.5
"31",112,42,25,17,"0",70,37,33,"Dem","Rep","Divided",33.200946012723,10005.3933802746,2988.61525682489,465.743863467684,13095.3388119566,11115.1703000681,2840.56168065805,11857.3609546187,9985.68494968101,2915.59792494261,25373.6910717925,21886.6447983203,7005.09727312232,15891.4363504217,13058.4696259436,4758.19197741895,1684.47773620314,1904.19222353398,2343.62119819567,2343.62119819567,2343.62119819567,4137.95617806423,5016.8141273876,6261.86288892905,4028.09893439881,4028.09893439881,2526.71660430471,42291.744378771,1784.14173149619,3066.34338431247,1513.94395499171,1026.56888721394,5057.51977572767,1843.98806342077,672.393968643406,1896.04716179372,4933.74121773105,10550.1151741456,4986.61749493349,2031.17008471741,2929.15347964359,2081015,687,25491,17799,7692,2637,-9748,-7111,106,5,2059179,314160748240,1594361,77.43,2141181968,0.68,1928.5,1106721,53.75,1267853668,0.4,2260.8,487640,23.68,873328300,0.28,1446.2,464818,22.57,312019566272,99.32,3.9
"32",213,63,32,29,"2v",150,100,40,"Dem","Dem","Dem",8.41339926703529,9830.01474184951,2573.64809957957,1548.42338778144,14561.9757511742,13077.7843097924,6420.01950354134,12653.8149770527,11085.3026479777,5020.30593426921,26862.9404001573,23338.1237212417,8711.12603757204,15001.8714061646,11877.4156293584,4046.74935154042,1355.36637301634,1501.89246739649,1831.57617975182,1758.31313256174,1721.68160896671,3150.31102917312,4175.99368983414,5970.93834599092,4322.51978421429,5384.83396847034,5494.72853925545,47973.105834893,264.837774582835,2709.3535315898,2923.71828427376,1192.08901846912,5074.01486075254,2609.19747388779,1422.26868510815,3771.56579751147,5593.68898338563,13165.1334775193,4724.93215867803,2397.08620718206,2125.21958195252,19745289,-1894,236507,160713,75794,118478,-191367,-72889,-4799,6,19378102,122056806947,17028105,87.87,10597911232,8.68,4161.4,16018144,82.66,9059207000,7.42,4579.5,1009961,5.21,1538704232,1.26,1700,2349997,12.13,111458895715,91.32,54.6
"33",170,50,17,33,"0",120,43,77,"Rep","Rep","Rep",23.6273455862749,9886.2940856303,3047.78605996939,936.375269975066,12935.7841498902,11391.8267185083,4149.41985131118,13082.8267657421,11458.1633065894,4336.97990251501,26268.4020007203,23222.8580516594,7676.92796127546,15102.3110084855,12254.1724687515,3677.43059271647,1340.59373687742,1493.80444966341,2336.46336998637,2298.16069178987,2259.85801359337,4404.80799259725,5630.49369488518,6817.87671897661,4366.50531440075,4289.89995800775,3025.91157752333,45350.1509588362,554.987221960809,3278.81316798712,5678.85836894304,1181.88143199339,5348.45094052068,1926.27221857173,815.281351038237,2875.70155650329,4852.70527123264,10431.4459144056,4327.54310682433,2145.02252374794,1933.18788510746,10146788,111602,120778,89721,31057,20494,59584,80078,467,1,9535483,125919791207,6301756,66.09,11937724456,9.48,1367.2,5232799,54.88,9285141220,7.37,1459.6,1068957,11.21,2652583236,2.11,1043.7,3233727,33.91,113982066751,90.52,73.5
