"","perCapitaFFL","workforcePC","agriculturePC","constructionPC","manufacturingPC","wholesalePC","retailPC","transportationPC","informationPC","financePC","pro.scientificPC","educationPC","artsPC","otherPC","publicAdminPC"
"Minnesota",26.2547572877445,53136.5351344795,1153.64796846657,3244.36131025721,7130.9554969644,1557.42840544393,5841.58316514469,2429.28552732499,904.816928974078,3878.60503590102,5209.40056744859,13258.3240840977,4487.44034356997,2367.52464917505,1673.16165171133
"Mississippi",31.4069160795157,40365.3922706639,1159.06589638689,2769.62858643402,5509.11724465526,1070.38559706161,4806.09756505508,2347.80339801766,484.848079374053,1899.25034873335,2718.88244758964,9772.42848875523,3850.21693388952,1830.6410337895,2147.02665092209
"Missouri",36.5050057442967,47403.0990401244,843.536523790182,3055.14758885646,5474.88201515288,1258.45017711716,5622.16146791648,2531.81097935487,940.323925924804,3154.68341747578,4641.45048454594,11376.560102327,4343.22152449128,2220.08675153105,1940.78408164045
"Montana",103.810958063155,47465.1502364658,3317.78856728158,4416.45116188487,1958.19481761465,1119.00999251022,5425.00385147175,2180.07834717118,878.523127724492,2543.2309536244,3791.97983088406,11476.1262042511,4916.22201142749,2417.07708660143,3025.46428401867
"Nebraska",35.9530656062173,52107.2572362463,2323.30833023105,3589.30490319549,5480.14141142116,1596.81903509675,6116.91524555581,2959.18448170708,882.686077734038,3795.71910981563,4433.97148009389,12530.4882073541,4241.92019601165,2191.61300372538,1965.18575430426
"Nevada",21.1220322864379,46182.6547165192,726.205180878562,2861.64789139727,2063.8694370332,934.509761221295,5607.68275285235,2392.08699204302,646.448141626308,2801.72608103731,5374.37607455272,7012.10018316378,11825.5762099316,2062.93315874633,1873.49285203543
"New Hampshire",37.215452560131,53628.0806639446,453.646349815918,3542.11039529784,6822.58849073498,1552.95309940298,6581.18006692674,2169.21745628748,1141.25813559921,3402.79871379156,5845.97826797914,13458.4256501901,4490.37711890211,2209.51484500166,1958.03207401488
"New Jersey",3.68663584165812,48957.2455511609,162.331467090359,2887.08276867984,3913.49215666503,1698.9686328154,5531.79307387979,2849.88250693504,1364.2893826715,4152.78698116183,6488.84926630765,11566.6514202297,4189.40528935346,2231.85902488534,1919.85358048602
"New Mexico",33.200946012723,42291.744378771,1784.14173149619,3066.34338431247,1513.94395499171,1026.56888721394,5057.51977572767,1843.98806342077,672.393968643406,1896.04716179372,4933.74121773105,10550.1151741456,4986.61749493349,2031.17008471741,2929.15347964359
"New York",8.41339926703529,47973.105834893,264.837774582835,2709.3535315898,2923.71828427376,1192.08901846912,5074.01486075254,2609.19747388779,1422.26868510815,3771.56579751147,5593.68898338563,13165.1334775193,4724.93215867803,2397.08620718206,2125.21958195252
"North Carolina",23.6273455862749,45350.1509588362,554.987221960809,3278.81316798712,5678.85836894304,1181.88143199339,5348.45094052068,1926.27221857173,815.281351038237,2875.70155650329,4852.70527123264,10431.4459144056,4327.54310682433,2145.02252374794,1933.18788510746
"North Dakota",54.4449604548397,53458.0192512238,5071.11853970813,4253.23881691518,3633.15650042612,2137.71826091552,6216.01802242232,3085.74524169733,638.844662310808,2729.7891878679,3667.11370377956,12766.4550397379,4410.07617248145,2519.5716371468,2329.17346581487
