"NAME","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL","pop2015.100k","pop2016.100k"
"Kansas",24.2197307550329,776.820341546368,126.155898691343,265.419350532782,78.3012886341689,33.2333237348889,1304.14993389458,2906721,2907289,38.5009310506569,29.06721,29.07289
"Kentucky",24.5897322951102,691.134203662198,306.648426268434,502.597855495093,65.8588969742199,40.9301518257763,1631.75926652083,4424611,4436974,31.8366376123307,44.24611,44.36974
"Louisiana",11.6299989719338,1098.06038175525,143.201055481306,539.799013056441,77.1692196977485,36.6676947328741,1906.52736369556,4668960,4681666,26.0359595636824,46.6896,46.81666
"Massachusetts",12.2489770409066,221.513389856491,98.8319988679646,99.8195818544155,34.0789830548448,14.4599837269908,480.952914401613,6784240,6811779,7.19342186527191,67.8424,68.11779
"Maryland",16.6472532115604,831.778839072604,434.930340920066,205.838782195045,68.4238804346901,67.8567395437151,1625.47583537768,5994983,6016447,9.81060748976929,59.94983,60.16447
"Maine",43.4765275643441,249.726767324606,365.413444476789,185.56504065958,129.752612540646,34.1493832425817,1008.08377580855,1329453,1331479,38.866553659502,13.29453,13.31479
"Michigan",11.6458276931733,247.647769672752,130.201361906447,102.30179028133,22.2127778424768,12.5432118184481,526.552739214628,9917715,9928300,21.949880644219,99.17715,99.283
"Minnesota",48.4091466656695,782.316616612874,168.976011571501,103.147597737137,43.8491290822417,20.6477596177611,1167.34626128718,5482435,5519952,26.2547572877445,54.82435,55.19952
"Missouri",22.6786329096258,500.855468315415,155.886800377341,247.720451782067,67.1471859733478,41.1276514086755,1035.41619076647,6076204,6093000,36.5050057442967,60.76204,60.93
"Mississippi",14.2503989108146,322.072396040664,141.165923482717,354.219422691586,58.4400161905941,26.6944092273006,916.842566543676,2989390,2988726,31.4069160795157,29.8939,29.88726
"Montana",43.0202127175113,356.079463371293,229.92559634832,768.162717172138,100.961850566772,42.4388584915989,1540.58869866763,1032073,1042520,103.810958063155,10.32073,10.4252
"North Carolina",9.18767225639864,844.080020041482,119.051106775699,242.606365243255,66.7351855760322,29.1175469991289,1310.777896892,10035186,10146788,23.6273455862749,100.35186,101.46788
"North Dakota",26.9543559692668,254.480831356901,208.896258761817,638.976791506735,84.8269437856336,35.8070120964279,1249.94219347678,756835,757952,54.4449604548397,7.56835,7.57952
"Nebraska",40.2901099133208,332.195388551378,117.068379656399,347.244774298817,71.4977835159061,42.7719384400916,951.068374375913,1893765,1907116,35.9530656062173,18.93765,19.07116
