"NAME","CivilianPop.16","Hunting.Fishing.Agriculture","Mining.Oil.Gas","Construction","Manufacturing","Wholesale.Trade","Retail.Trade","Transportation.Warehousing","Utilities","Information","Finance.Insurance","Real.Estate","Sciences.Technical","Management","Waste.Management","Educational.Services","Health.Care","Arts.Entertainment","Foodservice.Accommodation","OtherServices","PublicAdministration","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"South Carolina",31359.7355906247,261.929209448165,43.7399919997287,2150.73687892174,5354.60446666833,970.839869135501,3110.52427927076,1157.56734549119,538.36350732221,675.160791969656,1494.75957713786,591.031279099557,1676.42048739549,24.1274780717793,1454.96251762573,2541.31192191604,4143.79731774356,322.441986796692,1819.75527668558,1343.45720406453,1684.20420386064,4894834,4961119,22.4310953503299
"South Dakota",36652.1781193796,2619.12837925259,179.154442319147,2901.2062910368,4569.66217090425,1287.0678933559,3314.53202458507,1321.68654616578,491.77136769322,584.90370303024,2570.17270861235,481.980233565173,1521.70542906731,4.66244482287955,874.791209892775,2668.78341661625,5536.65322716947,671.042371132939,1688.6209537264,1531.14687983364,1833.50642659738,857919,865454,59.6411440315334
"Tennessee",32139.4996494344,255.903816434614,63.168531093595,2006.59403043735,5105.58212090997,1050.49904049336,3312.1629293216,1842.09201559471,432.672595956729,648.880009510154,1572.02607529034,551.306918394628,1810.31063269213,52.7667998573477,1309.58706036765,2440.44933052881,4648.13338961792,408.942698894445,1520.30551370602,1469.97993648576,1638.13620384725,6595056,6651194,23.0873333920697
"Texas",33975.532816892,297.616020393123,1025.05176972982,2945.86086240508,3497.7492777065,1214.95948233223,3370.00424978251,1784.31440530442,368.149212609032,663.435636174432,1800.24607688056,711.963434881516,2407.99742205867,51.8198580739615,1472.09739070937,2955.5948585397,3973.88387065539,329.621545511408,1865.72634076591,1524.8614828653,1714.57961951304,27429639,27862596,22.7174333169338
"Utah",30793.8255191545,280.007704057203,481.938265891624,2513.84991533562,4372.78809295159,1043.85962565772,3257.7395012158,1287.82143707417,300.404730505124,698.481123722344,1839.44397037148,590.109381562158,2432.02774530601,19.9288979720674,1406.12419047211,2339.33830708693,3019.32835601304,340.162213204433,1269.12973578829,1225.79441402352,2075.54791094324,2990632,3051217,30.3294281156229
"Vermont",34536.5188280242,801.963941171209,68.8401630441727,2378.89881294642,5084.10958203959,960.248399586001,3239.32099002057,1008.96359617178,331.902224607403,846.5263669005,1469.44199537445,509.193595788451,2233.39211101315,19.3263566782944,878.79020201633,4061.72934156221,5137.93588121798,553.117133693666,1658.71251325692,1186.09524539681,2108.01037553826,626088,624594,49.6856091050079
"Virginia",34794.5829544408,242.065006315441,101.223925129192,2394.34618367278,3030.80206993964,814.165421883274,3060.69121241285,1259.21606790584,305.476357760009,766.433620588588,1836.46731130492,761.211087497507,4212.32548881774,36.127500078577,1283.12977205973,2855.85318682674,4232.72563523988,402.732591845176,1630.45809980822,1671.71252596477,3897.41988938986,8367587,8411808,20.3880069540341
"Washington",32366.0494197861,757.636911354149,30.6831147900434,2211.55847039715,4229.74488463456,1135.24731540203,3426.0204544788,1674.97405831328,342.877173969211,782.412444188713,1373.93876505002,697.974523378243,3123.88185394726,44.1602225608181,1102.03637003529,2144.84329545312,3966.78067508439,566.234049179572,1435.38879011884,1250.85715802014,2068.79888943046,7160290,7288000,16.4962952799122
"West Virginia",28217.058389954,168.544849061923,1258.41026847136,1767.62972060011,2592.7010249026,782.052444986646,2992.41792604558,1154.33939164163,497.052502019225,443.604828323791,980.797402356152,315.688901949048,1302.84136306777,6.19210853788566,995.191338869658,2472.06354189695,5522.2744809628,333.070259248376,1197.62983466527,1069.55095806585,2365.0052442814,1841053,1831102,48.8594664123936
"Wisconsin",34937.3107085415,839.630984704808,58.7563114490201,2116.31946581515,8181.15321527401,1110.00710658367,3307.58677651849,1317.43127600712,371.869024570679,581.130954104368,2122.11014389835,411.398204300324,1808.87606925998,47.4003409565125,1023.9791285931,2437.56340055663,4784.22702509461,371.366241144293,1362.26568775311,1216.614530337,1467.62482162024,5767891,5778708,27.2191754050675
"Wyoming",35456.8625278107,1340.02778938036,4282.12188115352,2800.58988500652,1593.88292657977,758.326158672247,3927.67941625253,1721.57768666195,741.788920050123,461.849272446744,951.317438262396,652.794708083641,1536.94026988091,0,672.059738643435,3276.58957812993,3672.11940909207,555.787607300253,2263.04438628944,1509.1508895159,2739.21456640895,586555,585501,104.725127141827
