"NAME","CivilianPop.16","Private.ForProfit","Private.ForProfit.Employee","Private.ForProfit.Self.Inc","Private.NonProfit","LocalGov","StateGov","FederalGov","Self.Employed"
"Montana",47465.1502364658,29688.888286003,26781.7295869575,2907.15869904551,4473.9083378792,3774.24852699373,3376.50534409872,1620.81558184353,4530.78415964762
"Nebraska",52107.2572362463,36753.1874334989,34884.7929917387,1868.3944417602,4848.48964892687,3467.37847621009,2615.31921859365,1052.87614883578,3370.00631018104
"Nevada",46182.6547165192,36877.5743318267,35485.3631962183,1392.21113560847,1619.55337445098,2865.73977428064,1408.23189740609,993.946093951018,2417.60924460374
"New Hampshire",53628.0806639446,37402.2168074694,35733.5590789039,1668.65772856551,5823.3485776751,3779.75973433796,1987.72884368297,1110.95991236822,3524.06678841089
"New Jersey",48957.2455511609,36802.362194238,34901.6011668616,1900.76102737633,3232.43862824147,3400.01886872482,2269.96579120335,793.493669744268,2458.96639900907
"New Mexico",42291.744378771,27326.0755034783,25876.0157052157,1450.05979826258,3129.89105564123,3583.08882060906,3306.73816821194,2200.99907322307,2744.95175760745
"New York",47973.105834893,32986.5631973938,31186.0734769106,1800.48972048317,4902.41063750713,4365.23528444538,2044.09915074975,792.366182052397,2882.43138274457
"North Carolina",45350.1509588362,33089.3916664823,31514.6027188734,1574.78894760894,3108.47252856101,2423.73185708765,3016.08759419108,1052.02833310713,2660.43897940706
"North Dakota",53458.0192512238,35625.4665812231,33887.8355255769,1737.63105564621,5553.39010484452,3709.92356326016,2704.02399466198,1503.49812046219,4361.71688677189
"Ohio",47304.6051344712,34809.9239213138,33532.7429602011,1277.18096111275,4324.46452375639,3201.30218722991,1637.7727359288,857.011880131908,2474.12988611032
"Oklahoma",44874.8200216307,31828.5699953985,30191.3234686675,1637.24652673098,3006.87359977724,2459.91338516983,3083.34361293684,1721.57339867237,2774.54602967589
"Oregon",46743.5051236957,32388.9079106324,30519.8435435371,1869.06436709524,4425.74405523583,2909.85466007592,2487.65477804938,996.512974844421,3534.83074485779
"Pennsylvania",47762.0063440126,34819.7031497422,33516.8478437612,1302.85530598103,5598.07203055933,2425.09637345621,1547.92437466698,934.849104558633,2436.36131102923
"Rhode Island",49732.0499011469,35944.2481908513,34388.4608571182,1555.7873337331,5374.44332976193,3001.96948296099,1902.22308112773,1073.03191433933,2436.13390210561
"South Carolina",44244.6464987372,32566.1707833197,31225.8393236625,1340.33145965726,2745.32292617073,2395.8933030211,3133.69156134815,957.560562830118,2446.00736204742
"South Dakota",50919.9586441144,33507.9418919502,31382.9161028022,2125.02578914793,5826.42417291143,3482.38003820874,2267.11379512518,1454.21654025613,4381.88220566277
"Tennessee",45470.6373986817,32806.6205957918,31871.6171629172,935.003432874565,3452.85923273434,3204.62783030197,1855.63246165006,1068.90676894935,3081.9905092542
"Texas",46278.0461675052,34686.0051639761,33428.9233627902,1257.08180118594,2539.0709662639,2904.60257242175,2090.66185668721,984.952809623196,3072.752798533
"Utah",47292.244582416,34698.8195137349,32710.2766238039,1988.54288993096,3609.4377375752,2658.43473887794,2622.72322371994,1446.316363899,2256.51300460906
"Vermont",52363.4057832126,32470.0361610508,30189.8455169241,2280.1906441267,8125.21562464063,3484.33447055366,2466.42644484481,1212.60909009596,4604.78399202668
"Virginia",48778.6980882302,32781.7804583328,31156.6285477522,1625.15191058067,3852.53239673516,3634.36914369698,2007.81898054959,4008.6227965123,2493.57431240332
"Washington",47455.8153370883,33361.5956895601,31485.3588332316,1876.23685632844,3748.32583596474,3055.19748501806,2934.30852660996,1456.71474200067,2899.6730579348
"West Virginia",40109.546004379,27743.6879872551,26950.6635604733,793.024426781847,3137.17204230405,2803.55861564007,3198.65859375042,1393.76758843988,1832.70117698947
"Wisconsin",51312.6028213779,37770.998099652,36211.294561565,1559.70353808697,4565.44688517866,3316.29013100282,2258.45113924656,660.276000361311,2741.14056593649
"Wyoming",50349.583585512,33781.1458431008,31625.5082643571,2155.63757874368,3270.45204627017,5250.31753203024,3699.73830246098,1138.34167298889,3209.58818866091
