"NAME","total.BA","Science.and.Engineering","Science.Engineering.related","Business","Education","Arts.Humanities.Others","male.total.BA","male.Science.and.Engineering","male.Science.Engineering.related","male.Business","male.Education","male.Arts.Humanities.Others","female.total.BA","female.Science.and.Engineering","female.Science.Engineering.related","female.Business","female.Education","female.Arts.Humanities.Others","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Massachusetts",28767.9828543802,11509.5574449017,2330.97590887115,5368.92857564001,2580.02370199167,6978.4972229756,13641.4248316687,6496.32088487436,585.872551678596,3024.06754478026,513.292572196738,3021.87127813874,15126.5580227115,5013.23656002736,"118392","159081","140212","268427",6784240,6811779,7.19342186527191
"Michigan",18859.918842193,6146.18387400727,1960.64315217769,4007.43518038177,2800.68544014423,3944.97119548202,9065.77775223426,3869.11702947705,557.063799473972,2198.37936460162,703.155918475173,1738.06164020644,9794.14108995873,2277.06684453022,"139203","179417","208027","218875",9917715,9928300,21.949880644219
"Minnesota",23420.3779889775,7839.72814999175,2253.56068973002,4612.62194627022,3382.43864268341,5332.02856030213,11164.3640097876,4732.53216864404,578.77567175899,2592.35175610837,964.534919246649,2296.16949402957,12256.0139791899,3107.1959813477,"91819","110760","132560","166439",5482435,5519952,26.2547572877445
"Mississippi",13601.4036308411,3355.43371724666,1840.14129973005,2840.0442899722,2917.41793476261,2648.36638912956,5888.82681751126,1964.04617664473,514.854201024289,1557.90980768652,639.862982079956,1212.15365007577,7712.57681332981,1391.38754060193,"39618","38328","68085","42934",2989390,2988726,31.4069160795157
"Missouri",18775.8673013612,5628.8597288702,1866.14866781958,4056.29896560418,3036.18838340517,4188.37155566206,8678.47754947003,3479.14586146219,500.740264810069,2133.60183430313,710.591678620402,1854.39791027424,10097.3897518911,2149.71386740801,"82965","116827","141308","141817",6076204,6093000,36.5050057442967
"Montana",20945.6114053948,6933.23049823026,2301.87205749981,3467.487280454,3803.21934591836,4439.80222329234,10072.2526410438,4352.21151992156,746.265041329441,1979.12356974749,1142.26416154671,1852.3883484986,10873.358764351,2581.01897830871,"16055","15361","27463","26704",1032073,1042520,103.810958063155
"Nebraska",19658.6165654133,5472.48470639176,2134.58375247193,4436.66452806974,3775.38923784102,3839.49434063889,9337.90623440606,3423.23361135093,530.794475555309,2499.0957167336,1144.80941405085,1739.97301671538,10320.7103310073,2049.25109504083,"30372","36693","49817","39760",1893765,1907116,35.9530656062173
"Nevada",16079.0537902279,5114.50683448472,1479.73581694442,3670.41894638871,2115.39941978488,3698.99277262516,7968.42176077188,3320.77102170154,419.140579757386,2007.06855429616,520.362665660572,1701.07893935621,8110.63202945601,1793.73581278318,"30585","47967","45997","57615",2883758,2940058,21.1220322864379
"New Hampshire",25134.2181216455,9318.62077676224,2380.55320195081,4762.1589476367,3193.86878237982,5479.01641291591,12225.4458462489,5759.82004509398,548.976739535272,2767.28784289431,769.710197118887,2379.65102160647,12908.7722753966,3558.80073166826,"24362","26534","32244","41225",1330111,1334795,37.215452560131
"New Jersey",25942.5157471595,9566.54420647891,2182.59441832679,5898.56930076378,2901.04965395587,5393.75816763418,12464.0797562868,5573.23488171402,582.557889549916,3376.94217205882,616.143324416387,2315.20148854766,13478.4359908727,3993.30932476489,"142970","225318","204166","275082",8935421,8944469,3.68663584165812
"New Mexico",17519.4488561419,6120.52522486839,1585.23079052919,2750.2393853277,2808.25908222165,4255.194373195,8036.66537199903,3686.29369983964,469.6374802435,1483.90061567214,674.845505131883,1721.98807111186,9482.78348414288,2434.23152502875,"23208","26344","44382","52699",2080328,2081015,33.200946012723
"New York",24198.200826923,8221.06626550228,2103.16073943306,4533.86693180491,2779.30781317011,6560.79907701266,11200.5545297271,4619.11959797,611.05930906702,2525.94509302922,633.538464701522,2810.89206495934,12997.6462971959,3601.94666753228,"294648","396508","423729","740501",19747183,19745289,8.41339926703529
"North Carolina",19840.7583078181,6846.64937949331,1821.81974504508,4009.29290199504,2683.4280899228,4479.56819136187,9064.58534998753,3903.27593330109,497.9877801966,2188.45968574972,542.989437365685,1931.87251337444,10776.1729578306,2943.37344619223,"132849","182724","214797","255666",10035186,10146788,23.6273455862749
"North Dakota",18947.7230836312,5399.72384998051,2757.27206062087,3671.34183804924,3601.70975179531,3517.67558318524,8823.98409164481,3766.07847152946,713.761916401858,1835.14240224091,1030.60772823667,1478.39357323591,10123.7389919864,1633.64537845105,"15466","13897","19459","15434",756835,757952,54.4449604548397
"Ohio",18225.7612823339,5606.39340151606,2012.90123557853,3863.67533556396,2954.99647137592,3787.7948382994,8700.97517554797,3516.90508216653,550.310251794687,2238.8796640095,769.231432069893,1625.64874550736,9524.7861067859,2089.48831934953,"169735","188559","253660","250919",11605090,11614373,21.2610128272386
"Oklahoma",16123.297915194,4681.25466101109,1564.87129339251,3680.89995070909,3123.72837892273,3072.54363115861,7681.88372156111,2909.64817139929,452.549947356487,2011.48381000836,843.371088909442,1464.83070388753,8441.41419363293,1771.6064896118,"43463","65231","89103","62820",3907414,3923561,39.0036839833339
"Oregon",22403.7018024496,8641.97837617035,1979.18618189878,3255.47615012943,2495.38218879033,6031.67890546072,10839.4204292862,5133.08787830148,590.662405575265,1880.14612011925,630.069715656132,2605.45430963412,11564.2813731634,3508.89049786887,"55883","55352","75072","137893",4024634,4093465,35.3205251134023
"Pennsylvania",20646.0508146403,6837.80928937553,2162.81329190713,4145.21559886628,3097.34969868442,4402.8629358069,9863.76226713396,4130.04193902643,569.891706504364,2406.57684735595,831.893360050232,1925.35841419698,10782.2885475063,2707.7673503491,"203765","222405","289795","316920",12791904,12784227,19.9679652121321
"Rhode Island",22623.7605472491,7635.03841865391,2118.97041228412,4318.7474126261,2750.7396218479,5800.26468183709,10751.3496973779,4584.47130418802,577.487644549534,2353.24320509432,602.875880891279,2633.27166265476,11872.4108498712,3050.56711446589,"16272","20748","22673","33431",1055607,1056426,8.57450813718456
"South Carolina",18187.3583455537,5795.45700630501,1741.3460803778,4038.95208703707,2690.28530896043,3921.31786287339,8618.33108129918,3493.70377013807,464.183259330143,2288.51478926558,582.328226044029,1789.60103652136,9569.02726425452,2301.75323616695,"62515","85681","103181","104344",4894834,4961119,22.4310953503299
"South Dakota",18053.5691597925,5499.81991306872,1862.18046225809,3484.82782174075,3944.4283201561,3262.31264256882,8465.95074826411,3313.5995356205,463.913259876515,2107.42505994156,1104.30005629902,1476.71283652653,9587.61841152836,2186.22037744822,"11996","11817","24366","15319",857919,865454,59.6411440315334
"Tennessee",17453.6804539643,5198.46988410712,1786.99013321494,3891.17241764134,2603.64733824853,3973.40068075237,8191.60595452108,3172.61900429655,480.496299045831,2145.86502373899,589.911594382216,1802.71403305749,9262.07449944322,2025.85087981057,"86164","115104","132807","143158",6595056,6651194,23.0873333920697
"Texas",18065.7645549035,6269.79450950849,1625.59558293859,4245.26184978227,2304.89362255187,3620.21899012233,8753.45825732522,3918.26155641348,514.3888331888,2337.63557734026,463.46581520814,1519.70647517454,9312.30629757832,2351.53295309501,"304800","523255","505097","576163",27429639,27862596,22.7174333169338
"Utah",18548.3202212776,6051.86462259482,1863.85352661243,3499.62817223918,2597.67835026175,4535.29554956946,9939.06973509278,4086.22659023243,681.3609966054,2486.36408625334,643.576341054332,2041.54172094728,8609.25048618486,1965.63803236239,"35364","30303","58440","74579",2990632,3051217,30.3294281156229
"Vermont",25886.4568559052,9604.40065933224,2052.42713484366,3025.45329091118,3624.09118207025,7580.08458874791,11635.4250520694,5335.35221885741,396.270172883045,1743.36514994697,817.29724894903,3343.1402614329,14251.0318038359,4269.04844047482,"10369","8027","17573","26527",626088,624594,49.6856091050079
"Virginia",25121.2685329713,10317.849100344,1905.88995369872,4748.38206044347,2408.38846372317,5740.75895476199,12138.1946790634,6040.73790926823,522.874754693318,2583.48075735573,505.749148470162,2485.35210927595,12983.0738539079,4277.11119107575,"115725","181150","159205","272399",8367587,8411808,20.3880069540341
"Washington",23335.5492584798,9573.70441699987,2042.41727639523,3839.83050965813,2324.08184584703,5555.5152095795,11582.3102136925,5864.93005171578,634.569270239055,2154.01890146907,633.661485777811,2295.13050449074,11753.2390447873,3708.77436528409,"100806","120709","121039","233453",7160290,7288000,16.4962952799122
"West Virginia",13818.9394873477,4062.72931849328,1740.74293352771,2413.51009449484,2781.18011811719,2820.77702271472,6482.75742197536,2558.69874468579,461.800936746525,1323.1015076698,848.97067058906,1290.18556228419,7336.18206537237,1504.03057380749,"23546","20075","35573","28179",1841053,1831102,48.8594664123936
"Wisconsin",19287.084308632,5895.03165021669,2169.11172558566,3901.46068987781,3164.13746376275,4157.34277918914,9043.16673113275,3661.73701964895,563.134774911662,2209.8891952015,819.536985008905,1788.86875636173,10243.9175774993,2233.29463056774,"92631","97568","135234","136611",5767891,5778708,27.2191754050675
"Wyoming",17395.4701605135,6075.1336191832,1743.74099615552,2511.1029656213,3604.09509764643,3461.39748190707,8617.7766790838,3972.17652223577,561.072704179489,1500.11507872237,1058.55375881205,1525.85861513413,8777.6934814297,2102.95709694743,"6937","5930","14931","11353",586555,585501,104.725127141827
