"NAME","Hispanic","Black.combination","Male","White.NonHispanic","Asian","Asian.combination","Black","Female","Total","White","White.combination"
"Massachusetts",91025.641025641,89487.1794871795,52564.1025641026,83333.3333333333,68205.1282051282,70512.8205128205,82564.1025641026,60000,1e+05,88205.1282051282,89230.7692307692
"Michigan",68281.9383259912,2202.64317180617,62775.3303964758,89647.577092511,51321.5859030837,53964.7577092511,109251.101321586,68722.4669603524,1e+05,91629.9559471366,92070.4845814978
"Minnesota",36111.1111111111,52160.4938271605,42901.2345679012,87037.037037037,8950.61728395062,12654.3209876543,41358.024691358,45679.012345679,1e+05,89506.1728395062,90740.7407407407
"Mississippi",252147.239263804,281595.09202454,6748.46625766871,36196.3190184049,137423.312883436,164417.17791411,280368.098159509,21472.3926380368,1e+05,40490.7975460123,43558.282208589
"Missouri",138150.289017341,109248.554913295,46820.8092485549,86127.1676300578,131502.89017341,139884.393063584,105780.346820809,52890.1734104046,1e+05,87283.2369942197,88728.323699422
"Montana",21956.5217391304,54565.2173913043,66956.5217391304,95434.7826086957,81086.9565217391,81086.9565217391,54565.2173913043,67608.6956521739,1e+05,96086.9565217391,97826.0869565217
"Nebraska",83333.3333333333,544871.794871795,552564.102564103,48717.9487179487,215384.615384615,215384.615384615,512820.512820513,561538.461538462,1e+05,71794.8717948718,74358.9743589744
"Nevada",254248.366013072,92810.4575163399,11111.1111111111,22222.2222222222,75816.9934640523,84313.7254901961,84313.7254901961,14379.0849673203,1e+05,62745.0980392157,66666.6666666667
"New Hampshire",1112500,712500,2381250,3081250,1112500,1275000,537500,2462500,1e+05,3125000,25000
"New Jersey",10232.5581395349,114418.604651163,62093.023255814,73953.488372093,98604.6511627907,99069.7674418605,113720.930232558,65813.9534883721,1e+05,89069.7674418605,89534.8837209302
"New Mexico",457777.777777778,396666.666666667,496666.666666667,475555.555555556,297777.777777778,308888.888888889,348888.888888889,513333.333333333,1e+05,53333.3333333333,57777.7777777778
"New York",215909.090909091,259090.909090909,503409.090909091,552272.727272727,48863.6363636364,61363.6363636364,240909.090909091,526136.363636364,1e+05,31818.1818181818,37500
"North Carolina",91982.1826280624,22939.8663697105,62138.0846325167,81737.1937639198,27616.9265033408,30289.5322939866,21603.5634743875,68151.4476614699,1e+05,88418.7082405345,88864.1425389755
"North Dakota",30370.3703703704,6419.75308641975,60000,92592.5925925926,246.913580246914,19012.3456790123,246.913580246914,57037.037037037,1e+05,94814.8148148148,95802.4691358025
"Ohio",26415.0943396226,5241.09014675052,69182.3899371069,92452.8301886792,37735.8490566038,44863.7316561845,1886.79245283019,74004.1928721174,1e+05,93920.3354297694,94968.5534591195
"Oklahoma",92916.6666666667,59166.6666666667,31666.6666666667,60000,177083.333333333,182083.333333333,52500,34583.3333333333,1e+05,72500,81666.6666666667
"Oregon",103529.411764706,164705.882352941,34117.6470588235,78039.2156862745,17647.0588235294,19607.8431372549,157647.058823529,36470.5882352941,1e+05,90980.3921568627,93333.3333333333
"Pennsylvania",86746.9879518072,4618.47389558233,72690.7630522088,93373.4939759036,49598.3935742972,53012.0481927711,401.606425702811,76706.8273092369,1e+05,94779.1164658635,95381.5261044177
"Rhode Island",96375.2665245203,92324.0938166311,64605.5437100213,91044.776119403,37953.091684435,40938.1663113006,85287.8464818763,71641.7910447761,1e+05,93816.631130064,95095.9488272921
"South Carolina",37370.2422145329,171280.276816609,38062.2837370242,69204.1522491349,129411.764705882,135294.117647059,169896.193771626,45328.7197231834,1e+05,75778.5467128028,76124.5674740484
"South Dakota",10023.8663484487,18377.0883054893,61097.8520286396,95704.0572792363,74701.6706443914,74701.6706443914,10023.8663484487,62052.5059665871,1e+05,96181.38424821,96420.0477326969
"Tennessee",37735.8490566038,125606.469002695,50673.8544474393,80592.9919137466,126954.177897574,129380.053908356,124258.760107817,58221.0242587601,1e+05,85444.74393531,86522.9110512129
"Texas",330000,150000,374615.384615385,371538.461538462,364615.384615385,366153.846153846,139230.769230769,383846.153846154,1e+05,72307.6923076923,76153.8461538462
"Utah",120567.375886525,192907.80141844,4964.5390070922,75886.524822695,207801.418439716,236879.432624113,152482.269503546,5673.75886524823,1e+05,88652.4822695035,93617.0212765957
"Vermont",84594.5945945946,110810.810810811,52162.1621621622,96756.7567567568,117297.297297297,125405.405405405,84594.5945945946,56216.2162162162,1e+05,97297.2972972973,98108.1081081081
"Virginia",73141.4868105516,11270.9832134293,59712.2302158273,78896.8824940048,81294.964028777,86570.7434052758,9592.32613908873,63549.1606714628,1e+05,82733.8129496403,83932.8537170264
"Washington",107124.681933842,47582.6972010178,55216.2849872774,75063.6132315522,88295.165394402,92875.3180661578,33842.2391857506,57760.8142493639,1e+05,84732.8244274809,86768.4478371501
"West Virginia",140740.740740741,454320.987654321,538271.604938272,85185.1851851852,1234.56790123457,1234.56790123457,398765.432098765,556790.12345679,1e+05,86419.7530864197,92592.5925925926
"Wisconsin",59940.6528189911,66765.5786350148,46290.8011869436,87240.3560830861,5637.9821958457,10979.2284866469,53115.7270029674,50741.8397626113,1e+05,91691.3946587537,93768.5459940653
"Wyoming",70553.9358600583,7580.1749271137,50145.7725947522,87463.556851312,73177.8425655977,91253.6443148688,7580.1749271137,46647.2303206997,1e+05,93294.4606413994,95335.27696793
