"NAME","OccupiedHousingUnits","a.LessThan5000","b.5000to9999","c.10000to14999","d.15000to19999","e.20000to24999","f.25000to34999","g.35000to49999","h.50000to74999","i.75000to99999","j.100000to149999","k.150000.or.more","MedianHouseholdIncome","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Maine",545226,1066.22799000792,1640.44911704287,2501.63036978366,2583.69419603401,2173.52550259392,4347.12622409367,5536.48756293002,8038.1931516195,5372.43512933515,4798.28922120601,2952.79336689601,51494,1329453,1331479,38.866553659502
"Maryland",2177934,908.226095053147,908.226095053147,1126.19168394639,1162.52206219767,1235.18281870024,2615.70383102004,3814.57295208343,6212.29451359579,4868.12056014171,6539.26791785732,6938.88539800697,75847,5994983,6016447,9.81060748976929
"Massachusetts",2559951,1094.2714290768,1169.74045729514,1848.94697121564,1547.07085834228,1433.88205605934,2867.76411211868,3848.84673891254,5924.2007947832,4565.78776694221,6490.20376637619,6905.28342157707,70628,6784240,6811779,7.19342186527191
"Michigan",3858532,1439.49488365011,1556.21531774204,1984.17679878883,2100.88714991306,2178.69741165178,4123.9741210551,5602.37917705842,7275.31492889239,4668.64595322612,4746.45621496484,3229.15106957601,51084,9917715,9928300,21.949880644219
"Minnesota",2147262,861.642682494184,1057.48631766724,1566.63964096246,1644.98074304575,1840.80613814847,3329.12291709797,5052.42652215667,7402.40422367069,5483.25698343893,6227.41537291368,4739.09859396418,63488,5482435,5519952,26.2547572877445
"Mississippi",1104371,2031.85265221333,2216.57261180375,2549.04846808212,2733.76842767254,2549.04846808212,4285.38932691954,5282.85034739529,6132.52201954245,3989.844081903,3472.61481439357,1699.37679593496,40593,2989390,2988726,31.4069160795157
"Missouri",2374180,1250.33655881205,1484.77569219203,2188.10954997561,2109.95220041987,2266.25044188773,4337.13219635154,5743.78345427507,7306.71649602285,4688.79912524333,4688.79912524333,2969.56784202769,50238,6076204,6093000,36.5050057442967
"Montana",414804,1286.05244008902,1607.63821938952,2250.71288561952,2210.50255166059,2652.62244046691,4461.21543728012,5787.47821132807,7917.65698744178,4742.49399025069,4621.95988074487,2692.73588205485,49509,1032073,1042520,103.810958063155
"Nebraska",744159,1021.6684752332,1218.10256288399,1925.42369301365,1886.13687548349,2161.19740305687,4008.10026587248,5540.60297872228,7583.93992918868,5186.91601122631,5462.02934366196,3261.49231821266,54996,1893765,1907116,35.9530656062173
"Nevada",1042065,1264.73858069921,1084.03687133248,1662.20605196414,1734.50754189499,1987.44138724539,4011.050857943,5384.1896580781,6901.89676110131,4733.75366448918,4480.81981913878,2926.97930963694,52431,2883758,2940058,21.1220322864379
"New Hampshire",517615,661.523737492585,895.038083287786,1323.04747498517,1517.61770258272,1712.26311187563,2918.62859565856,4630.89170753418,6926.86550220245,5681.55590022186,6771.23939280256,5876.12612781941,70303,1330111,1334795,37.215452560131
"New Jersey",3187963,1070.32449842039,963.301001709936,1284.39387467026,1427.10679217017,1498.46325092013,2747.19008762989,3746.16931871481,5565.73663400975,4352.68802667496,6065.22065384496,6957.16519680494,72222,8935421,8944469,3.68663584165812
"New Mexico",761797,1684.44591429813,1904.17088074573,2343.62081364093,2343.62081364093,2343.62081364093,4137.95324583431,5016.80504228179,6261.84909302764,4028.06672793906,4028.06672793906,2526.66887144719,45382,2080328,2081015,33.200946012723
"New York",7233694,1355.36293961524,1501.89016833439,1831.57263494241,1758.31155258955,1721.6784794064,3150.30756538793,4175.99310240858,5970.93772818128,4322.5152671143,5384.8338773181,5494.7280328541,60850,19747183,19745289,8.41339926703529
"North Carolina",3843745,1340.59298950712,1493.80390159186,2336.45893558924,2298.15371633371,2259.84849707818,4404.80126626452,5630.48856294243,6817.87064036481,4366.49604700899,4289.89557343531,3025.90305750187,47830,10035186,10146788,23.6273455862749
"North Dakota",313475,994.007940964675,1325.38796435154,2070.86088777607,1698.12442606381,1946.65944360396,3893.31888720791,5757.26545416108,7082.65341851262,5550.08687494632,6585.58338343232,4556.07893398165,60557,756835,757952,54.4449604548397
"Ohio",4606655,1429.01950781941,1627.49276395099,2103.83547219367,2183.23166817319,2183.23166817319,4247.37765928571,5597.00958803422,7343.59664595449,4842.79742768044,4922.19362365996,3175.60656573969,51075,11605090,11614373,21.2610128272386
"Oklahoma",1465951,1350.61193925189,1575.69686754462,2138.47316921115,2175.99158932225,2288.54684965555,4089.35423786678,5552.52143745198,7090.72547725938,4351.98317864449,4201.90949820009,2701.22387850379,48568,3907414,3923561,39.0036839833339
"Oregon",1553205,1196.35723397457,1427.9062394245,1891.02909730425,1968.20381679427,2045.37853628429,4090.78191954846,5248.55179377802,7255.36781729718,4862.62850236817,5055.59014807309,3589.09654890358,54148,4024634,4093465,35.3205251134023
"Pennsylvania",4956037,1162.30547071022,1433.50825647222,1898.42731777849,2014.65708310506,1937.17057288735,3835.60570811038,5152.88419925603,7128.80584469677,4959.16792371175,5230.37070947374,3990.57872854581,55702,12791904,12784227,19.9679652121321
"Rhode Island",407484,1505.38978995024,1582.59655345218,2161.69464582937,1775.66082831963,1814.21684395803,3396.90812963537,4670.77236130492,6369.2264261226,5056.80617881465,5713.01630246863,4555.00958216457,58073,1055607,1056426,8.57450813718456
